name,homepage,citations,hindex,i10index,affiliation,score
Yafeng Yin,https://scholar.google.com/citations?user=v5CGgS8AAAAJ&hl=en,,,,,43.245
Fei Shen,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Zifeng Cheng,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Shiwei Gan,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Qing Gu,https://scholar.google.com/citations?user=v4PJRkwAAAAJ&hl=en,,,,,53.309
Chunlong Xie,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Kangjie Chen,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Shangwei Guo,https://scholar.google.com/citations?user=wQrVkBYAAAAJ&hl=en&oi=sra,,,,,50.544
Shudong Zhang,https://scholar.google.com/citations?user=LN8jXIMAAAAJ&hl=en,,,,,50.109
Tianwei Zhang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Tao Xiang,https://scholar.google.com/citations?user=tiZRS6wAAAAJ&hl=en,,,,,161.034
Xiaolu Zhang,https://scholar.google.com/citations?user=cAz9PToAAAAJ&hl=en,,,,,46.667
JUN ZHOU,https://scholar.google.com/citations?user=mCVvloEAAAAJ&hl=en,,,,,132.734
Yankai Lin,https://scholar.google.com/citations?user=j8K1FqEAAAAJ&hl=en,,,,,157.268
Ji-Rong Wen,https://scholar.google.co.in/citations?user=tbxCHJgAAAAJ&hl=de,,,,,214.0
Chongxuan Li,https://scholar.google.ru/citations?user=UKMcQn4AAAAJ&hl=en,,,,,97.207
Jiaxin Ye,https://scholar.google.com/citations?user=61ojjxkAAAAJ&hl=en,,,,,48.131
Yujie Wei,https://scholar.google.com/citations?user=TzDqygsAAAAJ&hl=en,,,,,126.571
Hongming Shan,https://scholar.google.com/citations?user=RYfSzKwAAAAJ&hl=en,,,,,102.747
Liao Pengfei,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Jian Li,https://scholar.google.com/citations?user=zX7i1EkAAAAJ&hl=en,,,,,121.565
mingxiang cai,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Xiaoqin Zhang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Shijian Lu,https://scholar.google.com.sg/citations?user=uYmK-A0AAAAJ&hl=en,,,,,199.831
Wenxuan Shi,https://scholar.google.com/citations?user=9NmdkmwAAAAJ&hl=en,,,,,53.835
Hanting Chen,https://scholar.google.ae/citations?user=wZ9N88gAAAAJ&hl=en,,,,,76.526
Xiaozhe Ren,https://scholar.google.com/citations?user=3t2j87YAAAAJ&hl=en,,,,,40.106
Yasheng Wang,https://scholar.google.com/citations?user=x-UYeJ4AAAAJ&hl=en,,,,,70.33
Lifeng Shang,https://scholar.google.com.au/citations?user=I2VgvqQAAAAJ&hl=en,,,,,47.886
Yuhang Wu,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Chaoyi Zhu,https://scholar.google.com/citations?user=ik8ZHka2dicC&hl=en,,,,,52.664
Huijuan Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
